country,barcode,product_name,brand,sugar_content_per_100g
italy,8003963221040,SanCarlo Cedrata,San Carlo,2.9
italy,8018848018837,Cola,Baule Volante,9.0
italy,8019730013589,Casado Cola,MD,10.9
italy,8002330018863,Cola,Esselunga,11.0
italy,8018005301031,Chinotto,Frizz,0.0
italy,8017596116055,Pathos yogurt colato greco fragola,Land,11.4
italy,8057192001508,Lemon soda,Terme di Crodo,12.0
italy,5449000298485,Fanta - aranciata,Fanta,1.2
italy,8018005827067,Bio sicilia organis,Polara,0.0
italy,8018005208279,Aranciata di Sicilia Chioschi by Polara,Polara,13.0
italy,8001300150398,Ginger cool party,Despar,10.0
italy,5449000282774,Coca Cola zero zuccheri,Coca-Cola,0.0
italy,42105244,,Coca-Cola,10.6
italy,3560071512316,"Lemon aux saveurs de citron, citron vert",Carrefour,4.3
italy,8057192001539,Lemonsoda la zero,Terme di Crodo,0.0
italy,5449000054227,Coca-Cola,Coca-Cola,10.8
italy,5000112567625,,Powerade,3.8
italy,5600961178425,H2O anti-ox,Prozis,0.0
italy,8002270876790,Chinò,San Pellegrino,8.9
italy,5000291027163,Tanqueray alchol free with tonic,Tanqueray,0.0
italy,8009980111142,Coca cola zero zuccheri,Get Up,0.0
italy,8054377870256,Mole Cola,Molecola,8.5
italy,42105220,Coca Cola,Coca-Cola,10.6
italy,8033256110577,Decó Cola Zero,Decò,0.0
italy,54490147,Coca-Cola,Coca-Cola,10.6
italy,4062139002313,Schwip Schwap Zero,Pepsico,0.3
italy,20256364,ARANCIATA-Bibita Gassata,Siti,1.7
italy,5904505330103,,Marton,2.0
italy,8050327350243,LemonSoda,Fonti di Crodo,0.0
italy,8014396001987,Limone,Schweppes,11.39999961853
italy,8003170018853,Cola Classic,Conad,11.0
italy,8057192001706,Lemon Soda Zero,Terme di Crodo,0.0
italy,5449000034557,Coca-Cola zero zuccheri,Coca-Cola,0.0
italy,5000112610161,coca zero,Coca cola,0.0
italy,8003170026957,Cola,Conad,0.0
italy,87170160,Pepsi S / Cafeina LL.375,Pepsi,11.0
